score,rank,count
150,78000,78000
151,77990,10
152,77980,10
153,77970,10
154,77960,10
155,77950,10
156,77940,10
157,77930,10
158,77920,10
159,77910,10
160,77900,10
161,77890,10
162,77880,10
163,77870,10
164,77860,10
165,77850,10
166,77840,10
167,77830,10
168,77820,10
169,77810,10
170,77800,10
171,77790,10
172,77780,10
173,77770,10
174,77760,10
175,77750,10
176,77740,10
177,77730,10
178,77720,10
179,77710,10
180,77700,10
181,77690,10
182,77680,10
183,77670,10
184,77660,10
185,77650,10
186,77640,10
187,77630,10
188,77620,10
189,77610,10
190,77600,10
191,77590,10
192,77580,10
193,77570,10
194,77560,10
195,77550,10
196,77540,10
197,77530,10
198,77520,10
199,77510,10
200,77500,10
201,77490,10
202,77480,10
203,77470,10
204,77460,10
205,77450,10
206,77440,10
207,77430,10
208,77420,10
209,77410,10
210,77400,10
211,77390,10
212,77380,10
213,77370,10
214,77360,10
215,77350,10
216,77340,10
217,77330,10
218,77320,10
219,77310,10
220,77300,10
221,77290,10
222,77280,10
223,77270,10
224,77260,10
225,77250,10
226,77240,10
227,77230,10
228,77220,10
229,77210,10
230,77200,10
231,77190,10
232,77180,10
233,77170,10
234,77160,10
235,77150,10
236,77140,10
237,77130,10
238,77120,10
239,77110,10
240,77100,10
241,77090,10
242,77080,10
243,77070,10
244,77060,10
245,77050,10
246,77040,10
247,77030,10
248,77020,10
249,77010,10
250,77000,10
251,76980,20
252,76960,20
253,76940,20
254,76920,20
255,76900,20
256,76880,20
257,76860,20
258,76840,20
259,76820,20
260,76800,20
261,76780,20
262,76760,20
263,76740,20
264,76720,20
265,76700,20
266,76680,20
267,76660,20
268,76640,20
269,76620,20
270,76600,20
271,76580,20
272,76560,20
273,76540,20
274,76520,20
275,76500,20
276,76480,20
277,76460,20
278,76440,20
279,76420,20
280,76400,20
281,76380,20
282,76360,20
283,76340,20
284,76320,20
285,76300,20
286,76280,20
287,76260,20
288,76240,20
289,76220,20
290,76200,20
291,76180,20
292,76160,20
293,76140,20
294,76120,20
295,76100,20
296,76080,20
297,76060,20
298,76040,20
299,76020,20
300,76000,20
301,75983,17
302,75966,17
303,75950,16
304,75933,17
305,75916,17
306,75900,16
307,75883,17
308,75866,17
309,75850,16
310,75833,17
311,75816,17
312,75800,16
313,75783,17
314,75766,17
315,75750,16
316,75733,17
317,75716,17
318,75700,16
319,75683,17
320,75666,17
321,75650,16
322,75633,17
323,75616,17
324,75600,16
325,75583,17
326,75566,17
327,75550,16
328,75533,17
329,75516,17
330,75500,16
331,75450,50
332,75400,50
333,75350,50
334,75300,50
335,75250,50
336,75200,50
337,75150,50
338,75100,50
339,75050,50
340,75000,50
341,74900,100
342,74800,100
343,74700,100
344,74600,100
345,74500,100
346,74400,100
347,74300,100
348,74200,100
349,74100,100
350,74000,100
351,73900,100
352,73800,100
353,73700,100
354,73600,100
355,73500,100
356,73400,100
357,73300,100
358,73200,100
