score,rank,count
700,30,1
699,47,17
698,64,17
697,81,17
696,98,17
695,115,17
694,132,17
693,149,17
692,166,17
691,183,17
690,200,17
689,217,17
688,234,17
687,251,17
686,268,17
685,285,17
684,302,17
683,319,17
682,336,17
681,353,17
680,371,18
679,1313,942
678,1374,61
677,1435,61
676,1497,62
675,1558,61
674,1619,61
673,1680,61
672,1741,61
671,1802,61
670,1863,61
669,1924,61
668,1986,62
667,2047,61
666,2108,61
665,2169,61
664,2230,61
663,2291,61
662,2352,61
661,2413,61
660,2475,62
659,5485,3010
658,5618,133
657,5751,133
656,5884,133
655,6018,134
654,6151,133
653,6284,133
652,6417,133
651,6550,133
650,6683,133
649,6816,133
648,6949,133
647,7082,133
646,7215,133
645,7348,133
644,7481,133
643,7614,133
642,7747,133
641,7880,133
640,8014,134
639,10569,2555
638,10742,173
637,10915,173
636,11088,173
635,11261,173
634,11433,172
633,11606,173
632,11779,173
631,11952,173
630,12125,173
629,21853,9728
628,22161,308
627,22468,307
626,22776,308
625,23083,307
624,23390,307
623,23698,308
622,24005,307
621,24313,308
620,24620,307
619,24927,307
618,25235,308
617,25542,307
616,25849,307
615,26157,308
614,26464,307
613,26772,308
612,27079,307
611,27386,307
610,27694,308
609,28001,307
608,28308,307
607,28616,308
606,28923,307
605,29231,308
604,29538,307
603,29845,307
602,30153,308
601,30460,307
600,30768,308
599,29463,1305
598,29754,291
597,30045,291
596,30337,292
595,30628,291
594,30920,292
593,31211,291
592,31503,292
591,31794,291
590,32085,291
589,32377,292
588,32668,291
587,32960,292
586,33251,291
585,33542,291
584,33834,292
583,34125,291
582,34417,292
581,34708,291
580,35000,292
579,54374,19374
578,54823,449
577,55273,450
576,55722,449
575,56171,449
574,56620,449
573,57069,449
572,57518,449
571,57967,449
570,58417,450
569,76502,18085
568,77086,584
567,77670,584
566,78254,584
565,78837,583
564,79421,584
563,80005,584
562,80589,584
561,81172,583
560,81756,584
559,82340,584
558,82924,584
557,83508,584
556,84091,583
555,84675,584
554,85259,584
553,85843,584
552,86426,583
551,87010,584
550,87594,584
549,88178,584
548,88761,583
547,89345,584
546,89929,584
545,90513,584
544,91096,583
543,91680,584
542,92264,584
541,92848,584
540,93432,584
539,96602,3170
538,97202,600
537,97802,600
536,98401,599
535,99001,600
534,99601,600
533,100201,600
532,100801,600
531,101401,600
530,102000,599
529,102600,600
528,103200,600
527,103800,600
526,104400,600
525,105000,600
524,114403,9403
523,115053,650
522,115703,650
521,116353,650
520,117003,650
519,117652,649
518,118302,650
517,118952,650
516,119602,650
515,120252,650
514,120902,650
513,121551,649
512,122201,650
511,122851,650
510,123501,650
509,124151,650
508,124801,650
507,125451,650
506,126100,649
505,126750,650
504,127400,650
503,128050,650
502,128700,650
501,129350,650
500,130000,650
499,150752,20752
498,151502,750
497,152252,750
496,153002,750
495,153752,750
494,154501,749
493,155251,750
492,156001,750
491,156751,750
490,157501,750
489,158251,750
488,159001,750
487,159750,749
486,160500,750
485,161250,750
484,162000,750
483,162750,750
482,163500,750
481,164250,750
480,165000,750
479,174534,9534
478,175324,790
477,176113,789
476,176903,790
475,177693,790
474,178482,789
473,179272,790
472,180061,789
471,180851,790
470,181641,790
469,182430,789
468,183220,790
467,184009,789
466,184799,790
465,185589,790
464,186378,789
463,187168,790
462,187958,790
461,186421,1537
460,187201,780
459,187981,780
458,188760,779
457,189540,780
456,190320,780
455,191100,780
454,191880,780
453,192660,780
452,193440,780
451,194220,780
450,195000,780
449,192438,2562
448,193204,766
447,193971,767
446,194737,766
445,195504,767
444,196271,767
443,197037,766
442,197804,767
441,198570,766
440,199337,767
439,200103,766
438,200870,767
437,201637,767
436,202403,766
435,203170,767
434,203936,766
433,204703,767
432,205469,766
431,206236,767
430,207003,767
429,207769,766
428,208536,767
427,209302,766
426,210069,767
425,210835,766
424,211602,767
423,212368,766
422,213135,767
421,213902,767
420,214668,766
419,215435,767
418,216201,766
417,216968,767
416,217734,766
415,218501,767
414,219268,767
413,220034,766
412,220801,767
411,221567,766
410,222334,767
409,223100,766
408,223867,767
407,224634,767
406,225400,766
405,226167,767
404,226933,766
403,227700,767
402,228466,766
401,229233,767
400,230000,767
399,210707,19293
398,211407,700
397,212107,700
396,212807,700
395,213507,700
394,214207,700
393,214906,699
392,215606,700
391,216306,700
390,217006,700
389,217706,700
388,218406,700
387,219106,700
386,219806,700
385,220506,700
384,221206,700
383,221906,700
382,222606,700
381,223306,700
380,224006,700
379,224705,699
378,225405,700
377,226105,700
376,226805,700
375,227505,700
374,228205,700
373,228905,700
372,229605,700
371,230305,700
370,231005,700
369,231705,700
368,232405,700
367,233105,700
366,233804,699
365,234504,700
364,235204,700
363,235904,700
362,236604,700
361,237304,700
360,238004,700
359,238704,700
358,239404,700
357,240104,700
356,240804,700
355,241504,700
354,242204,700
353,242903,699
352,243603,700
351,244303,700
350,245003,700
349,245703,700
348,246403,700
347,247103,700
346,247803,700
345,248503,700
344,249203,700
343,249903,700
342,250603,700
341,251303,700
340,252003,700
339,252702,699
338,253402,700
337,254102,700
336,254802,700
335,255502,700
334,256202,700
333,256902,700
332,257602,700
331,258302,700
330,259002,700
329,259702,700
328,260402,700
327,261102,700
326,261801,699
325,262501,700
324,263201,700
323,263901,700
322,264601,700
321,265301,700
320,266001,700
319,266701,700
318,267401,700
317,268101,700
316,268801,700
315,269501,700
314,270201,700
313,270900,699
312,271600,700
311,272300,700
310,273000,700
309,273700,700
308,274400,700
307,275100,700
306,275800,700
305,276500,700
304,277200,700
303,277900,700
302,278600,700
301,279300,700
300,280000,700
299,248625,31375
298,249245,620
297,249865,620
296,250485,620
295,251105,620
294,251725,620
293,252345,620
292,252965,620
291,253585,620
290,254205,620
289,254825,620
288,255445,620
287,256065,620
286,256685,620
285,257305,620
284,257925,620
283,258544,619
282,259164,620
281,259784,620
280,260404,620
279,261024,620
278,261644,620
277,262264,620
276,262884,620
275,263504,620
274,264124,620
273,264744,620
272,265364,620
271,265984,620
270,266604,620
269,267224,620
268,267844,620
267,268464,620
266,269083,619
265,269703,620
264,270323,620
263,270943,620
262,271563,620
261,272183,620
260,272803,620
259,273423,620
258,274043,620
257,274663,620
256,275283,620
255,275903,620
254,276523,620
253,277143,620
252,277763,620
251,278383,620
250,279003,620
249,279622,619
248,280242,620
247,280862,620
246,281482,620
245,282102,620
244,282722,620
243,283342,620
242,283962,620
241,284582,620
240,285202,620
239,285822,620
238,286442,620
237,287062,620
236,287682,620
235,288302,620
234,288922,620
233,289541,619
232,290161,620
231,290781,620
230,291401,620
229,292021,620
228,292641,620
227,293261,620
226,293881,620
225,294501,620
224,295121,620
223,295741,620
222,296361,620
221,296981,620
220,297601,620
219,298221,620
218,298841,620
217,299461,620
216,300080,619
215,300700,620
214,301320,620
213,301940,620
212,302560,620
211,303180,620
210,303800,620
209,304420,620
208,305040,620
207,305660,620
206,306280,620
205,306900,620
204,307520,620
203,308140,620
202,308760,620
201,309380,620
200,310000,620
199,291493,18507
198,292075,582
197,292657,582
196,293238,581
195,293820,582
194,294402,582
193,294984,582
192,295565,581
191,296147,582
190,296729,582
189,297311,582
188,297892,581
187,298474,582
186,299056,582
185,299638,582
184,300220,582
183,300801,581
182,301383,582
181,301965,582
180,302547,582
179,303128,581
178,303710,582
177,304292,582
176,304874,582
175,305455,581
174,306037,582
173,306619,582
172,307201,582
171,307782,581
170,308364,582
169,308946,582
168,309528,582
167,310110,582
166,310691,581
165,311273,582
164,311855,582
163,312437,582
162,313018,581
161,313600,582
160,314182,582
159,314764,582
158,315345,581
157,315927,582
156,316509,582
155,317091,582
154,317672,581
153,318254,582
152,318836,582
151,319418,582
