score,rank,count
699,20,20
698,25,5
697,31,6
696,36,5
695,45,9
694,58,13
693,67,9
692,82,15
691,101,19
690,115,14
689,133,18
688,152,19
687,173,21
686,198,25
685,228,30
684,258,30
683,286,28
682,313,27
681,356,43
680,390,34
679,429,39
678,472,43
677,527,55
676,581,54
675,626,45
674,690,64
673,750,60
672,835,85
671,910,75
670,976,66
669,1073,97
668,1159,86
667,1268,109
666,1376,108
665,1497,121
664,1615,118
663,1731,116
662,1861,130
661,2007,146
660,2133,126
659,2288,155
658,2461,173
657,2637,176
656,2797,160
655,2967,170
654,3155,188
653,3363,208
652,3573,210
651,3792,219
650,4041,249
649,4295,254
648,4551,256
647,4810,259
646,5085,275
645,5353,268
644,5626,273
643,5917,291
642,6187,270
641,6515,328
640,6887,372
639,7234,347
638,7581,347
637,7975,394
636,8326,351
635,8721,395
634,9119,398
633,9460,341
632,9891,431
631,10326,435
630,10774,448
629,11251,477
628,11704,453
627,12155,451
626,12649,494
625,13155,506
624,13673,518
623,14220,547
622,14782,562
621,15379,597
620,15967,588
619,16558,591
618,17131,573
617,17776,645
616,18414,638
615,19064,650
614,19740,676
613,20441,701
612,21132,691
611,21880,748
610,22633,753
609,23390,757
608,24166,776
607,24931,765
606,25699,768
605,26592,893
604,27404,812
603,28216,812
602,29114,898
601,29981,867
600,30891,910
599,31751,860
598,32658,907
597,33591,933
596,34545,954
595,35512,967
594,36461,949
593,37468,1007
592,38483,1015
591,39503,1020
590,40553,1050
589,41597,1044
588,42702,1105
587,43778,1076
586,44848,1070
585,46000,1152
584,47139,1139
583,48306,1167
582,49462,1156
581,50632,1170
580,51787,1155
579,53022,1235
578,54275,1253
577,55513,1238
576,56757,1244
575,58008,1251
574,59294,1286
573,60565,1271
572,61895,1330
571,63143,1248
570,64458,1315
569,65799,1341
568,67126,1327
567,68512,1386
566,69902,1390
565,71370,1468
564,72794,1424
563,74215,1421
562,75632,1417
561,77025,1393
560,78474,1449
559,79932,1458
558,81344,1412
557,82850,1506
556,84318,1468
555,85803,1485
554,87279,1476
553,88784,1505
