score,rank,count
150,172563,172563
151,168917,3646
152,168916,1
153,168915,1
154,168914,1
155,168896,18
156,168895,1
157,168894,1
158,168893,1
159,168892,1
160,168891,1
161,168890,1
162,168889,1
163,168888,1
164,168887,1
165,168408,479
166,168407,1
167,168406,1
168,168405,1
169,168404,1
170,168403,1
171,168402,1
172,168401,1
173,168400,1
174,168399,1
175,168398,1
176,168397,1
177,168396,1
178,168395,1
179,168394,1
180,168393,1
181,168392,1
182,167629,763
183,167628,1
184,167627,1
185,167626,1
186,167625,1
187,167624,1
188,167006,618
189,167005,1
190,167004,1
191,167003,1
192,167002,1
193,167001,1
194,167000,1
195,166999,1
196,166998,1
197,166537,461
198,166536,1
199,166535,1
200,166534,1
201,166533,1
202,166532,1
203,166531,1
204,166530,1
205,166529,1
206,166528,1
207,166451,77
208,166450,1
209,166449,1
210,166448,1
211,166447,1
212,166446,1
213,166445,1
214,166444,1
215,166443,1
216,166442,1
217,166441,1
218,166440,1
219,166439,1
220,165645,794
221,165644,1
222,165484,160
223,165483,1
224,165482,1
225,165481,1
226,165480,1
227,165479,1
228,165478,1
229,165477,1
230,165476,1
231,165475,1
232,164593,882
233,164592,1
234,164591,1
235,164590,1
236,163711,879
237,163710,1
238,163709,1
239,163708,1
240,163707,1
241,163706,1
242,163705,1
243,163704,1
244,163703,1
245,163702,1
246,163701,1
247,163700,1
248,163699,1
249,163698,1
250,162893,805
251,162892,1
252,162891,1
253,162890,1
254,162889,1
255,162472,417
256,162471,1
257,162107,364
258,162106,1
259,162105,1
260,162104,1
261,162103,1
262,161962,141
263,161961,1
264,161960,1
265,161959,1
266,161958,1
267,161957,1
268,161956,1
269,161955,1
270,161954,1
271,161953,1
272,161952,1
273,161951,1
274,161950,1
275,161949,1
276,161948,1
277,160824,1124
278,160730,94
279,160729,1
280,160150,579
281,160143,7
282,159388,755
283,158804,584
284,158803,1
285,158802,1
286,158801,1
287,158800,1
288,158799,1
289,158798,1
290,158797,1
291,158796,1
292,158795,1
293,158794,1
294,158793,1
295,158792,1
296,158791,1
297,158790,1
298,158789,1
299,158788,1
300,158787,1
301,158786,1
302,156924,1862
303,156923,1
304,156922,1
305,156921,1
306,156920,1
307,156919,1
308,156116,803
309,156115,1
310,156114,1
311,156113,1
312,156112,1
313,156111,1
314,154693,1418
315,154247,446
316,154246,1
317,154245,1
318,154244,1
319,153807,437
320,153806,1
321,153805,1
322,153804,1
323,153803,1
324,153802,1
325,153801,1
326,153288,513
327,151631,1657
328,151630,1
329,151629,1
330,151628,1
331,151627,1
332,151307,320
333,151306,1
334,151305,1
335,151304,1
336,149800,1504
337,149799,1
338,149798,1
339,149797,1
340,149796,1
341,149795,1
342,149794,1
343,149172,622
344,149171,1
345,149170,1
346,149169,1
347,149013,156
348,147886,1127
349,147649,237
350,147648,1
351,147551,97
352,147550,1
353,147549,1
354,147548,1
355,147205,343
356,146155,1050
357,144543,1612
358,144542,1
359,144541,1
360,144540,1
361,144539,1
362,143007,1532
363,143006,1
364,143005,1
365,143004,1
366,143003,1
367,140621,2382
368,140620,1
369,140619,1
370,140143,476
371,139302,841
372,139301,1
373,139300,1
374,137788,1512
375,137787,1
376,137786,1
377,137785,1
378,136396,1389
379,136395,1
380,136394,1
381,136393,1
382,136392,1
383,135193,1199
384,135192,1
385,135191,1
386,133735,1456
387,133734,1
388,133622,112
389,133621,1
390,133418,203
391,133417,1
392,133416,1
393,130883,2533
394,130882,1
395,130745,137
396,130744,1
397,130359,385
398,130358,1
399,128321,2037
400,127970,351
401,127969,1
402,127968,1
403,127502,466
404,125283,2219
405,125282,1
406,125281,1
407,125280,1
408,125279,1
409,124422,857
410,123274,1148
411,122038,1236
412,122037,1
413,122036,1
414,120533,1503
415,120532,1
416,118465,2067
417,118464,1
418,118463,1
419,118462,1
420,117800,662
421,117799,1
422,117798,1
423,117797,1
424,115990,1807
425,113292,2698
426,113291,1
427,113290,1
428,113289,1
429,113288,1
430,112251,1037
431,111957,294
432,110970,987
433,110969,1
434,109408,1561
435,109407,1
436,106946,2461
437,106945,1
438,106944,1
439,105721,1223
440,105720,1
441,105680,40
442,105679,1
443,105154,525
444,104494,660
445,101843,2651
446,100910,933
447,100909,1
448,100908,1
449,100907,1
450,97103,3804
451,96469,634
452,96468,1
453,96467,1
454,96466,1
455,95998,468
456,94034,1964
457,92006,2028
458,92005,1
459,92004,1
460,90974,1030
461,90973,1
462,90972,1
463,87238,3734
464,87237,1
465,86578,659
466,86090,488
467,84532,1558
468,84531,1
469,84418,113
