score,rank,count
670-750,9,9
669,10,1
668,12,2
667,12,0
666,15,3
665,18,3
664,21,3
663,23,2
662,24,1
661,30,6
660,35,5
659,36,1
658,39,3
657,45,6
656,50,5
655,55,5
654,59,4
653,67,8
652,77,10
651,86,9
650,97,11
649,102,5
648,114,12
647,128,14
646,143,15
645,157,14
644,176,19
643,189,13
642,203,14
641,214,11
640,227,13
639,245,18
638,270,25
637,293,23
636,317,24
635,338,21
634,365,27
633,393,28
632,420,27
631,437,17
630,463,26
629,496,33
628,533,37
627,571,38
626,614,43
625,655,41
624,698,43
623,747,49
622,779,32
621,816,37
620,855,39
619,908,53
618,960,52
617,1002,42
616,1061,59
615,1111,50
614,1164,53
613,1224,60
612,1285,61
611,1348,63
610,1400,52
609,1473,73
608,1533,60
607,1602,69
606,1695,93
605,1773,78
604,1853,80
603,1930,77
602,2002,72
601,2082,80
600,2176,94
599,2259,83
598,2351,92
597,2437,86
596,2542,105
595,2643,101
594,2740,97
593,2844,104
592,2951,107
591,3043,92
590,3161,118
589,3279,118
588,3395,116
587,3508,113
586,3616,108
585,3748,132
584,3884,136
583,4012,128
582,4120,108
581,4232,112
580,4361,129
579,4503,142
578,4652,149
577,4789,137
576,4923,134
575,5059,136
574,5193,134
573,5332,139
572,5494,162
571,5644,150
570,5797,153
569,5973,176
568,6159,186
567,6324,165
566,6489,165
565,6643,154
564,6816,173
563,6995,179
562,7148,153
561,7322,174
560,7508,186
559,7693,185
558,7871,178
557,8067,196
556,8240,173
555,8421,181
554,8618,197
553,8791,173
552,9000,209
551,9214,214
550,9426,212
549,9638,212
548,9818,180
547,10005,187
546,10229,224
545,10436,207
544,10670,234
543,10926,256
542,11154,228
541,11357,203
540,11562,205
539,11783,221
538,12008,225
537,12230,222
536,12476,246
535,12714,238
534,12945,231
533,13193,248
532,13418,225
531,13646,228
530,13882,236
529,14162,280
528,14431,269
527,14666,235
526,14917,251
525,15178,261
524,15461,283
523,15718,257
522,15985,267
521,16245,260
520,16486,241
519,16738,252
518,17002,264
517,17261,259
516,17494,233
515,17763,269
514,18013,250
513,18274,261
512,18550,276
511,18814,264
510,19082,268
509,19356,274
508,19630,274
507,19911,281
506,20200,289
505,20499,299
504,20787,288
503,21098,311
502,21367,269
501,21646,279
500,21955,309
499,22253,298
498,22526,273
497,22848,322
496,23113,265
495,23413,300
494,23724,311
493,24028,304
492,24328,300
491,24614,286
490,24923,309
489,25231,308
488,25516,285
487,25815,299
486,26104,289
485,26443,339
484,26733,290
483,27030,297
482,27370,340
481,27675,305
480,28000,325
479,28328,328
478,28654,326
477,29000,346
476,29295,295
475,29635,340
474,29951,316
473,30279,328
472,30639,360
471,31005,366
470,31326,321
469,31651,325
468,32024,373
467,32349,325
466,32670,321
465,33021,351
464,33355,334
463,33726,371
462,34098,372
461,34430,332
460,34759,329
459,35120,361
458,35469,349
457,35824,355
456,36169,345
455,36545,376
454,36909,364
453,37284,375
452,37667,383
451,38019,352
450,38417,398
449,38766,349
448,39127,361
447,39509,382
446,39850,341
445,40234,384
444,40617,383
443,41023,406
442,41409,386
441,41808,399
440,42172,364
439,42545,373
438,42943,398
437,43333,390
436,43711,378
435,44079,368
434,44467,388
433,44827,360
432,45225,398
431,45621,396
430,46023,402
429,46412,389
428,46803,391
427,47191,388
426,47601,410
425,48011,410
424,48379,368
423,48762,383
422,49169,407
421,49550,381
420,49951,401
419,50372,421
418,50794,422
417,51225,431
416,51628,403
415,52022,394
414,52401,379
413,52819,418
412,53259,440
411,53660,401
410,54066,406
409,54497,431
408,54923,426
407,55347,424
406,55743,396
405,56171,428
404,56583,412
403,57040,457
402,57483,443
401,57904,421
400,58321,417
399,58758,437
398,59226,468
397,59674,448
396,60111,437
395,60553,442
394,60975,422
393,61457,482
392,61913,456
391,62370,457
390,62826,456
389,63262,436
388,63723,461
387,64211,488
386,64706,495
385,65108,402
384,65590,482
383,66018,428
382,66440,422
381,66888,448
380,67358,470
379,67823,465
378,68245,422
377,68721,476
376,69195,474
375,69628,433
374,70097,469
373,70561,464
372,71011,450
371,71448,437
370,71900,452
369,72369,469
368,72855,486
367,73334,479
366,73809,475
365,74307,498
364,74791,484
363,75276,485
362,75755,479
361,76229,474
360,76664,435
359,77147,483
358,77577,430
357,78055,478
356,78519,464
355,78992,473
354,79479,487
353,79999,520
352,80482,483
351,80984,502
350,81462,478
349,81920,458
348,82376,456
347,82851,475
346,83315,464
345,83786,471
344,84272,486
343,84739,467
342,85202,463
341,85637,435
340,86097,460
339,86587,490
338,87098,511
337,87528,430
336,87996,468
335,88481,485
334,88931,450
333,89432,501
332,89924,492
331,90368,444
330,90817,449
329,91293,476
328,91715,422
327,92156,441
326,92621,465
325,93092,471
324,93554,462
323,94019,465
322,94458,439
321,94929,471
320,95364,435
319,95811,447
318,96254,443
317,96677,423
316,97098,421
315,97559,461
314,97979,420
313,98397,418
312,98836,439
311,99225,389
310,99648,423
309,100064,416
308,100458,394
307,100836,378
306,101236,400
305,101628,392
304,102020,392
303,102421,401
302,102838,417
301,103228,390
300,103607,379
299,104024,417
298,104383,359
297,104777,394
296,105123,346
295,105501,378
294,105863,362
293,106226,363
292,106569,343
291,106884,315
290,107217,333
289,107577,360
288,107919,342
287,108266,347
286,108597,331
285,108972,375
284,109285,313
283,109587,302
282,109922,335
281,110218,296
280,110547,329
279,110860,313
278,111175,315
277,111473,298
276,111786,313
275,112080,294
274,112366,286
273,112662,296
272,112915,253
271,113173,258
270,113460,287
269,113702,242
268,113964,262
267,114177,213
266,114436,259
265,114669,233
264,114895,226
263,115123,228
262,115361,238
261,115606,245
260,115826,220
259,116016,190
258,116236,220
257,116472,236
256,116704,232
255,116934,230
254,117124,190
253,117302,178
252,117490,188
251,117666,176
250,117825,159
249,117996,171
248,118170,174
247,118354,184
246,118511,157
245,118673,162
244,118835,162
243,118988,153
242,119136,148
241,119282,146
240,119439,157
239,119578,139
238,119731,153
237,119856,125
236,120013,157
235,120151,138
234,120301,150
233,120431,130
232,120560,129
231,120698,138
230,120830,132
229,120947,117
228,121060,113
227,121168,108
226,121289,121
225,121393,104
224,121502,109
223,121588,86
222,121700,112
221,121787,87
220,121872,85
219,121958,86
218,122047,89
217,122133,86
216,122218,85
215,122280,62
214,122355,75
213,122421,66
212,122485,64
211,122550,65
210,122613,63
209,122694,81
208,122774,80
207,122843,69
206,122892,49
205,122957,65
204,123007,50
203,123064,57
202,123121,57
201,123164,43
200,123201,37
199,123240,39
198,123283,43
197,123323,40
196,123368,45
195,123400,32
194,123424,24
193,123461,37
192,123505,44
191,123542,37
190,123568,26
189,123603,35
188,123641,38
187,123678,37
186,123708,30
185,123734,26
184,123758,24
183,123778,20
182,123799,21
181,123818,19
180,123834,16
179,123854,20
178,123879,25
177,123899,20
176,123912,13
175,123926,14
174,123951,25
173,123968,17
172,123984,16
171,123991,7
170,124002,11
169,124014,12
168,124023,9
167,124037,14
166,124050,13
165,124064,14
164,124079,15
163,124086,7
162,124098,12
161,124106,8
160,124121,15
159,124129,8
158,124146,17
157,124153,7
156,124164,11
155,124180,16
154,124190,10
153,124197,7
152,124206,9
151,124213,7
150,124223,10
