score,rank,count
657,617,104
656,119,15
655,135,16
654,147,12
653,162,15
652,184,22
651,200,16
650,220,20
649,257,37
648,282,25
647,300,18
646,332,32
645,370,38
644,401,31
643,440,39
642,485,45
641,531,46
640,571,40
639,621,50
638,672,51
637,718,46
636,762,44
635,809,47
634,881,72
633,947,66
632,1017,70
631,1085,68
630,1170,85
629,1246,76
628,1334,88
627,1411,17
626,1498,87
625,1583,85
624,1679,96
623,1780,101
622,1879,99
621,1995,116
620,2108,113
619,2239,131
618,2370,131
616,2635,134
615,2787,152
614,2950,163
613,3109,159
612,3282,173
611,3422,140
610,3568,146
609,3741,173
608,3935,194
607,4112,177
606,4299,187
605,4501,202
604,4686,185
603,4895,209
602,5117,222
601,5318,201
600,5533,215
599,5755,222
598,5984,229
597,6220,236
596,6481,261
595,6722,241
594,6966,244
593,7265,299
592,7512,247
591,7802,290
590,8104,302
589,8368,264
588,8668,300
587,8939,271
586,9227,288
585,9514,287
584,9826,312
583,10179,353
582,10507,328
581,10836,329
580,11157,321
579,11490,333
578,11818,328
576,12511,346
575,12870,359
574,13227,357
573,13555,328
572,13944,389
571,14304,360
570,14687,383
569,15064,377
568,15485,421
567,15871,386
566,16256,385
565,16666,410
564,17057,391
563,17456,399
562,17909,453
561,18331,422
560,18719,388
559,19132,413
558,19556,424
556,20423,445
555,20853,430
554,21288,435
553,21736,448
552,22198,462
551,22628,430
550,23055,427
549,23478,423
548,23930,452
547,24363,433
546,24820,457
545,25253,433
544,25694,441
543,26159,465
542,26648,489
541,27089,441
540,27559,466
539,28034,479
538,28502,468
537,28968,466
536,29436,468
535,29878,442
534,30320,442
533,30817,497
532,31312,495
531,31771,459
530,32267,496
529,32760,493
528,33237,477
527,33722,485
526,34204,482
525,34671,467
524,35138,467
523,35607,469
522,36103,496
521,36596,493
520,37055,459
519,37540,485
518,38006,466
517,38501,495
516,38970,469
515,39467,497
514,39954,487
513,40431,477
512,40913,482
511,41384,471
510,41844,460
509,42322,478
508,42799,477
507,43251,452
506,43777,526
505,44281,504
504,44723,442
503,45219,496
502,45745,526
501,46191,446
500,46654,463
499,47109,455
498,47549,440
497,48032,483
496,48491,459
495,48963,472
494,49444,481
493,49892,448
492,50364,472
491,50779,415
490,51251,472
489,51758,507
488,52180,422
487,52640,460
486,53114,474
485,53536,422
484,54036,500
131,577,2501
104,617,104
