slug,title,style
intelligent-vehicle-engineering,智能车辆工程,eng
intelligent-marine-equipment,智能海洋装备,eng
intelligent-transportation,智能交通,eng
smart-energy-engineering,智慧能源工程,eng
bionic-science-engineering,仿生科学与工程,eng
intelligent-mining-engineering,智能采矿工程,eng
quantum-information-engineering,量子信息工程,eng
industrial-intelligence,工业智能,eng
blockchain-engineering,区块链工程,cs
cryptology-science-technology,密码科学与技术,cs
virtual-reality-technology,虚拟现实技术,cs
digital-twin-technology,数字孪生技术,cs
marine-information-technology,海洋信息技术,cs
service-science-engineering,服务科学与工程,cs
intelligent-medical-engineering,智能医学工程,medicine
biomedical-engineering,生物医学工程,medicine
clinical-engineering-technology,临床工程技术,medicine
audiology-speech-rehabilitation,听力与言语康复学,medicine
ophthalmology-optometry,眼视光医学,medicine
psychiatry,精神医学,medicine
tcm-rehabilitation,中医康复学,medicine
food-hygiene-nutrition,食品卫生与营养学,medicine
smart-agriculture,智慧农业,agri
agricultural-intelligent-equipment-engineering,农业智能装备工程,agri
land-science-technology,土地科学与技术,agri
